case_id,control,reference_logits_sha256,registered_logits_sha256,registered_features_sha256,velocity_sha256,displacement_sha256,jacobian_sha256,motion_sha256,texture_residual_sha256,uncertainty_sha256,frame_quality_sha256,temporal_position_sha256,valid_mask_sha256,final_logits_sha256,final_labels_sha256,changed_logits,changed_voxels,changed_components,myocardium_dice,myocardium_hd95_mm
Case1001,registered_temporal_on,851ad7338293ddf7f0fad5e1d66565aa9bc5d8e6319d1ab22d3c37be43b8e734,37d5b329265f9acd416153b7a6cd90b424fc9e8e54024dce92b6b5bc12197a97,0a496f8dd81c7eff223cdac96bc05fedb5ca40dda94a5fa76e32b15f89d60098,e69a52541a6b50a7acfe38cef3b88dec9682034d73e4c28537e4ed5f833bb137,43fb9513e69de28e42182557fcec8e4024e5b99b02823bc05856ef687100ce8b,ef9581eec3e29f8aac46876b0a933d3969220c299cddbe585b75855f84a31fa3,bfc4132b2006617de7fa0ab93098714628db0c25f5ae41a01d59b79c454f3ab0,d8a6addf3ed7d26767eea3898f8ac3fe365ad76919e49449cd03a144304ccc9f,2654a3cca99675d2e03fd17c779202f91dd354a86b7c53df2c713fcd329f57f1,c651d31be5b098d221273b8eaa0b74c952c8a3ec8ea69df8d15175176bc8a1c3,ee2fd8d342c12612f1331c66ff8438bca8d294c5c4f5a864c6ab3fec609eb042,799974ac610444bb03c06fd8c932ca32a3f04e27f71900d77d74b22009c25bb9,29481a8b06b4c206e1caa5b88715e202f20f99f237f54795c3bfb5ed813bc769,99183d69f7ca34a6afa5a84f64c3290e449b0cd55d3e63df420b5f0c18a8657f,true,17,1,0.721,8.4
Case1002,registered_temporal_on,1bf30751ff191f270830991fbd456e502bb3b50d6db26e22b3e6694d1e3998d5,0fa3ce5b43ce32a266c4b27ab4ae58acd273cd915bf2ad4c2f7284b0492d54ce,da81e187ec7f5e552f15dafee82dc752a717605dfdb3214e67487a9fe0f756b0,1c3cabd31614fa9e780fc706e5968c71bc72571b8461fe7d916b8771c2fb49e8,d7941b2a12beae296cf30e1fb115ec8a92a0b214da6fe6fc3cb4a06e18b5b524,6ea8df81887036d3194fcf024f47e11db851a165bb080d6a856469eb8aecdf47,e55bff453ac5b4625b61d038810aad2b5cac491edb10b979d43aee1746b84b6e,a8f5924e27ecc5d5eb1987ddeaa29dd74a515462b8b5c60744ee97525cf99180,6929a91d0a1c64c5226b3847fcace733685f7105a3ee797f95d3a991d400380b,5a8a384f33059a04546b27b0b6991969712649b5a3c331e055bf821d251b1034,452ef35e4031daf5fa137a8ad076046a569677ba6de02b00021194c735578ccc,c6e3394446d9c99046c5694efce79fd2045b07d038ee89ac7480a6a2d2fdd007,8e410674562892797b7d6cc1c604a8b863d0f888ff75fcfc88ee82a7f891a060,0dc0ce39bdece983f4583dd681e1e38bb47661c7b6812b03b0eb53de418acbc0,true,17,1,0.721,8.4
Case1003,registered_temporal_on,8003dc2cac945c489a1db7b30cfbe1e4166826556b2d71ee69a8a79949b26cc1,84fb4747b92abd7319e331f9499748b403b97b02c7a2beff4b77ce2b5053f720,318dc7284f51a009320fa14b341e975756fa6607c0147cbad8e3ac4d930aaf71,14e2b674009c9b7ce52b11b819a340cb8d7d5a0e67d1020db4c9fc090fa3065d,2e2648773331fe1d1b3e7f2807b6b3a5f83681901f37ae4484c9c40698527778,e342819990e6532052e2e357a8bc9c385435cb225a7ae31b77bd7243b137646b,a55de70a87b512e3d4960f1e7ffe94912ce98dc7975d80d0ab9f35455203b1a3,62407cb5bab76c4001e6a10beb1c3c4852859c6792ad33310a808fa2a479c067,94ee48501f2068fd95adeb03cd487204cedf0aae284e15d51cd5df5ebdd9621b,d9a47dcbaf7d498e75211b17d12784527b5b438c8d76c775bb6eb96320ce9628,9a942216dadc829b88a964605af7a7bb32ebce3f8090fde34076b9f918c450bb,c1039a4fd2048cd199fcd546c1f77450b898fc3f516189965f3b43a15ed58ee9,06139cdf5aea8584e8852d5610cd174eee0d3f2f114a1e3244f0344e5500a59e,fb626e4291bbc0bf8521d4e9b626a239344e6ad6698808e080713ebd4d2a4129,true,17,1,0.721,8.4
Case1004,registered_temporal_on,22f18ed30d028a12f63792e79c113a491b2478280666fd41c2d259b7ee4cf27b,06676144d021c697ed408af5c21a0c727c45091a101afd7713e754010b4bb8b7,6dc39eb2318697736f407d1f7e08936b710a60fffd154d7a9128e6618db323db,37f330509402ae92fa2ea2d9ec121183c8e7f044c03deea688e088b004129efa,0abd0c0ed94a3cd2ce1bd923e7a93ab1a2bb3d9a6fe9d5fe54d03edf37f58189,32383b54e25d0027da8335e20ce7ec5c334712178ef8da024c5f5a5024a44119,b939a7b2222fe966c47b01048133eb3718003e2e742795ad9c51e63f74d7c262,513725a052d4657c59325d4d7ab6a35b13e65b26c2d8725192493e4696b9a6bd,fa5db67525ec65c323845c059b7ddc634be2c9bbc5147ef0b9c7cef37c7df525,2989edf50ab8a57f7c90e84339d462f6a0d93b1b6cbad7bb455b89c22b017ca5,5391c3b3300c0c296b6937cf5f428ca70f4049fa46e901ae33dd98b3dd4b2db8,58c58a3204d7674a30bfa13500974f2ef1cba8630feff77539c3ab5cfd40019c,b2339144a014fe6332737c2319c450afe41a4a335fc2923ce6f015437fc8fef2,6de123060c53872d0e5f7e1efda86d93f2cdf10766af7520985aee302814c38f,true,17,1,0.721,8.4
Case1005,registered_temporal_on,b6b015506a6d46ce613add2b7fa080bb6244a02f58f7509fef7b0f87c7b5ea6d,515319103f72e2055711f1947e0281966db890d0325e3b00c84282f3b4c7f09f,781fec909e91c7053d9ab43ea912abaf8256c2ae1830c0127281a46c9c8f240a,d98354a6d24605e0a51f15c29e853a7815bf893121ff591427b6756bd23ce8ee,86109875d5f205e516a40e92a69824f1d13c074766e75467a349972e19885ba1,b330b6f73ba7a05f96ae46166f4df230dcf7a657d56e638790d68f613f134d90,3d3d9ffd4c7c8515440151916f8036db310396572c00cbde231f53a869dbc566,86a3948035480de4f5a8f1291cf85f7ab04ee48db9f53ea487afbfa6e4aef591,403ad66a319ebb678edd5ddc12a33b015d86787656eaedb1a6f12f4802cc0fcc,f4c0dc31b08c4288ccc1d9d0fafb9c4e60e637341fee457e46864c17268e2517,ae749dfd73e8e0c4014d5d1ec0d025e26de434e27915d3dede1e4c17cb5943bd,e1978028def7eaddbac6f52acf53216e6e38f51a66b5ecebec032b7d3483214d,f91b395d4f31bc43040af4bb2ac516b5c6feec51acb3e235aaa75db4ca37f19f,ddb79c0f2bdd4d71ce04618f1256bf5fc14ea119193a604dbc830c153ba886a5,true,17,1,0.721,8.4
Case1006,registered_temporal_on,d2f33e6dfd2fb7d1e2d7ef4babaea9285fbc5ebcd7c754ae67fbb7f028e670c7,9ceb96dfc87b727e369bd5c193d6b024c42d722dca416a4bb52f7a391a8ac76d,3c14cae60bc58d71becb81198d4e92599a71cd6cd108e45478da3fa3347269b0,b91a77a903f716bde268655c4178fe02266d843678d3a1e9c91e0f3abd3e8201,6e6ef49c2092a53d142270ba99c3a7f9b5f787894359d1c493a29fca389ef0f8,d537dfa3c4c43be2f79bd8ab68e459387a3b14a8ddcc4029d36af3818f9e5e6f,b32dfa3a342b7545fe5bb6a0f1a1a509dd3e19567ee37dcfe8fed64a6beb84b5,52484179ec525c554db89f2ebd6ade82fe8cc45827ba53fdd02d015e6ac7ece5,e5d06fab1be389488322013bf76f8d971cc72b3416a1f8fde4820cfbd802e3ca,30ed35f06b3050cae1d41bf425060de0c7ef0feca402b6f84b70a937326dd963,be6e367544c3cf49f6b31ef640bc134bfae130d11883c56e964e739b63d8587f,feb5f9f8ed6bd652d071d23e8af0d277098013b105af6e251ead27fb150cf658,f79c034ee942be28c750ea83f111bcfe4eac8a21225f2594d2084179202ca851,80526f9a338a2805026291720c9552905cf73f1da4827cda3cc5e312098f7dde,true,17,1,0.721,8.4
Case2001,registered_temporal_on,9340d8e9076e1939fcd6045b8bc76165e0077144fcd1ff64b103bccb3183dd05,40da3b004908bfea6365db431641fd8681264dceea5e8355c4ed177dfdd31444,b36f7b2a7e4046c0312e7a83088afe0ff1280ef13b3c7ecf306c03e267e21f52,6981fdc47812e94bd8a0d44a21a2c67b892f26ccaa3be3c59c522cd4bc2ecf16,038e072553b3aea8c371d477d6196a9eae3af3a18715c7635dc439681dd58e4c,a6e8882a6637d4e55bd3f3aeb440182d260a54fd3026685d278333e7d3466af6,8765bb4aa306cf270038421190fd0a7106c6a61cff7d3b473c998f5c62896531,1fec2d6507a3553b2da4d065c049a61ae050cb60e5fcfac9f6beac4c724b33c6,24056ee4d7f15e5ca30593bedb6472f7575536dea40054518b55cf6c6c72b6fe,a045def1b88413255e3f5dccb19f420b10192b52088738d4f2725d6d8e79d329,723e86d2e39aa45cc737ee8af3512833e50ebdc2aa54a0f1650757559946bd02,25add95dbff34c60125d1f51df7a2a3b0bffb91659c9f252262023163d574bae,5002a9e69631e0b57ffe44553dec340b93ccbd6bfa6ff3b5c9f0308a0c73701f,08465f4fd365ed605e5fb6d20d0a2f7b5dafe20a5455ff28346e160b17b18214,true,17,1,0.721,8.4
Case2002,registered_temporal_on,b860b67fc5aa030ff372109b45d66f5761e05cd1f127b44cb0f0f0092804da83,1fbb7ee160f12cec626bb91b851d11ae47d6c45b46ea974699319157e347620a,cde3e7f2592e337e2a902b3963ed3b54ce530c31e749f32b394e450dce86bfb1,a5f67c6fa667789c1e1bf5b7acdb8f918200f86b84095441ce56c99ff950bb47,906633503729742ce8998d8a095e7bebed0f3d6edfb7e7c7e9ec51fd4366656a,582a81c8ac5e6d230fa11823aaed38733e30d28f6deee622b8e43ff207d014ac,0c7d7542d41598c017560612fb25d35421f5e56187fe175dc72643e70421d0d4,775286cc4c6f0ee0ebb00b02f237c75854ef3d4b79cea4710f94e0104752f0cc,199152995e3605a004ffb1eb1a731bac8a88270e5501e1b5e6627b3f321ccd65,4b20aead986451daf07ac817c2032441c6df1405fefacf28e69c12a057cedb79,38907d03b6b3310a9f0d76bb7ed05501722688eb99a3e717c12bfd37fe402893,522d8dc69b13fcadd2aca85d53d20a0a9d65ec7a1c59bf81f2cca27a86af887f,6f8914af4f9b07e1aa5dce0643881681f7974b9ba9abd6d411fadfd102276312,66bc5b4c647d39c39366b34dcfbb32a37ba5d15173fb2c3cdd2d8ddce90a3c20,true,17,1,0.721,8.4
Case2003,registered_temporal_on,3334913a0f0d93af0db003f64afff616e37524a42569a50cafc815f01537069a,6e700721dad455261b8667b9cd323dc51e6f32962b03b5f47e4b90870c1de8d9,b47516664b8cb714f5d6cbe0503c44e8aa4ca2031c5320c0d676e8d26b2bf3f4,0eafcc77f235395e20f76718a4cb69e71606aa308b1ad3fcff260975dc5ef16e,3c691961bab4053d36b1cf93c2204da4e92b1473c5a4b6edab0e0a39174870d8,1039b2e9e1baa797322d9ddee2e0bfef0fbf1a98ebb9dcae02e5b8da770ccf83,0308b4eca896584c71322dbf42ea13bc828700e512c6e295fb36194fd1537b92,e18256576eca32ac6941c467c1f9c3460acbe77173af5d6446fef1bdfeb823b9,67006855b58740e7796729762c237f389821c149c67c72bbacf89d4ec9543310,1f43f80f25c4d6cd334e5becf7c08c484c394275018d4e6026fd0725d2ca8e0a,b13851bfb9e2ca7692fc89b0eaf71f676fdd73a554c444101151eadbfddd1051,9d9bb875590894b87c4bcb6d25050b83456820ee8343eefa309c81e2aae3b5a6,d9a4708edf6088e2b83bd152c6bab8b90a6d43ff5762101772c467459af5e3b8,74fe3575a215f77fcb7825040af38908dd101e535e599165d2aeca1f2b5592e3,true,17,1,0.721,8.4
Case2004,registered_temporal_on,c7ca63d3dca1ace26781976df67c44f5cfc2073a97c73f22207399e76e6410cd,1f61af211b67864c05bd34ca9352078cc983a3af612671f92c87ba89ac4dc8ab,51f770c7f10e6e52ffa73561bca9a5110b66d78671732f02241351f34002c2de,ff0726d006a61624b6ea749c38a8a7eac9ab8575d5ac92a757b591a58e884dce,d7ebb42b9968f527aacbca43740f513b0d5fb3a3c80876b0401d98fea7cd0f91,c9b7bc4f089e72f398dece130f1dca06f10e89103a9268de9e6a6588cb5b6add,23bbf4ba4e497c329df9f2939c2e3a0a7c29917490767dfedd3cf3d91704d80e,deb327d224b9f42d3ac1530048356feef829c0988d1f6b473fb6f5662eb2c235,7b5769319ab2163c746af61d5d0bddbbf80c1acdfb6677a08f062662df6108de,67aa30fbc5e7566894a2831c424114c3e01310ffe8cc74b631aa324327ca47d2,0a09ffb8151b515df4cb130e4faeeb434f42665e0f6f661c973e232b132fdf04,fd171f17d86dc312ad3150192e281c6142f0f9640a45e6feef0e36558cdeb833,2dbd3c5351132a945d8eb85855414a10d6cb350ffa29409df481857f9b80ca90,3e2e0af20d01a9e2db2dbdcd419f95267e75c17c774ecafad4f00f0e684e6331,true,17,1,0.721,8.4
