case_id,pathology,class_id,dice_delta_srr_minus_anchor,changed_voxels,help_harm
Case1002,edema,4,,0,identity
Case1002,scar,5,0.0,0,identity
Case1007,edema,4,,0,identity
Case1007,scar,5,0.0,0,identity
Case1009,edema,4,,0,identity
Case1009,scar,5,0.0,0,identity
Case1010,edema,4,,0,identity
Case1010,scar,5,0.0,0,identity
Case1021,edema,4,,0,identity
Case1021,scar,5,0.0,0,identity
Case1023,edema,4,,0,identity
Case1023,scar,5,0.0,0,identity
Case1029,edema,4,,0,identity
Case1029,scar,5,0.0,0,identity
Case1033,edema,4,,0,identity
Case1033,scar,5,0.0,0,identity
Case1040,edema,4,,0,identity
Case1040,scar,5,0.0,0,identity
Case1042,edema,4,,0,identity
Case1042,scar,5,0.0,0,identity
Case1045,edema,4,,0,identity
Case1045,scar,5,0.0,0,identity
Case1047,edema,4,,0,identity
Case1047,scar,5,0.0,0,identity
Case1053,edema,4,,0,identity
Case1053,scar,5,0.0,0,identity
Case1062,edema,4,,0,identity
Case1062,scar,5,0.0,0,identity
Case1070,edema,4,,0,identity
Case1070,scar,5,0.0,0,identity
Case1073,edema,4,,0,identity
Case1073,scar,5,0.0,0,identity
Case1080,edema,4,,0,identity
Case1080,scar,5,0.0,0,identity
Case2002,edema,4,0.0,0,identity
Case2002,scar,5,0.0,0,identity
Case2007,edema,4,0.0,0,identity
Case2007,scar,5,0.0,0,identity
Case2008,edema,4,0.0,0,identity
Case2008,scar,5,0.0,0,identity
Case2017,edema,4,-0.00030353937690008603,2,harm_or_neutral
Case2017,scar,5,0.0,0,identity
Case2020,edema,4,0.0,0,identity
Case2020,scar,5,0.0,0,identity
Case2031,edema,4,0.0,0,identity
Case2031,scar,5,0.0,0,identity
Case2033,edema,4,-0.0001852757030497143,1,harm_or_neutral
Case2033,scar,5,0.0,0,identity
Case3004,edema,4,0.0,0,identity
Case3004,scar,5,0.0,0,identity
Case3011,edema,4,0.0,0,identity
Case3011,scar,5,0.0,0,identity
Case3012,edema,4,-7.482663737856665e-05,1,harm_or_neutral
Case3012,scar,5,0.0,0,identity
Case3023,edema,4,0.0,0,identity
Case3023,scar,5,0.0,0,identity
Case3026,edema,4,0.0,0,identity
Case3026,scar,5,0.0,0,identity
Case3034,edema,4,-0.00017414299348406104,1,harm_or_neutral
Case3034,scar,5,0.0,0,identity
Case3038,edema,4,0.0,0,identity
Case3038,scar,5,0.0,0,identity
Case3040,edema,4,0.0,0,identity
Case3040,scar,5,0.0,0,identity
Case3044,edema,4,0.0,0,identity
Case3044,scar,5,0.0,0,identity
Case5005,edema,4,,0,identity
Case5005,scar,5,0.0,0,identity
Case6001,edema,4,,0,identity
Case6001,scar,5,0.0,0,identity
Case6010,edema,4,,0,identity
Case6010,scar,5,0.0,0,identity
Case7005,edema,4,,0,identity
Case7005,scar,5,0.0,0,identity
Case8003,edema,4,,0,identity
Case8003,scar,5,0.0,0,identity
Case8011,edema,4,,0,identity
Case8011,scar,5,0.0,0,identity
Case8015,edema,4,,0,identity
Case8015,scar,5,0.0,0,identity
Case8019,edema,4,,0,identity
Case8019,scar,5,0.0,0,identity
Case8021,edema,4,,0,identity
Case8021,scar,5,0.0,0,identity
Case8022,edema,4,,0,identity
Case8022,scar,5,0.0,0,identity
Case8023,edema,4,,0,identity
Case8023,scar,5,0.0,0,identity
