pathology,subgroup,case_rows,anchor_mean_dice,srr_mean_dice,mean_changed_voxels,anchor_remote_fp_volume_mm3,srr_remote_fp_volume_mm3
edema,all,44,0.3944358976789887,0.3944358976789887,0.0,86.19135076349431,86.19135076349431
edema,t2_present,16,0.3944358976789887,0.3944358976789887,0.0,237.02621459960938,237.02621459960938
edema,no_t2,28,,,0.0,0.0,0.0
edema,CenterB,7,0.5029744773313501,0.5029744773313501,0.0,541.7742047991071,541.7742047991071
edema,CenterC,9,0.3100170023938187,0.3100170023938187,0.0,0.0,0.0
edema,scar_positive,43,0.3944358976789887,0.3944358976789887,0.0,88.19580078125,88.19580078125
edema,edema_positive,16,0.3944358976789887,0.3944358976789887,0.0,237.02621459960938,237.02621459960938
scar,all,44,0.5601692281262312,0.5601692281262312,0.0,620.3619700074735,620.3619700074735
scar,t2_present,16,0.6933346102422654,0.6933346102422654,0.0,1.102447509765625,1.102447509765625
scar,no_t2,28,0.4840747240599259,0.4840747240599259,0.0,974.224554291878,974.224554291878
scar,CenterB,7,0.6131815991584469,0.6131815991584469,0.0,2.5198800223214284,2.5198800223214284
scar,CenterC,9,0.7556758410852354,0.7556758410852354,0.0,0.0,0.0
scar,scar_positive,43,0.573196419478004,0.573196419478004,0.0,634.7889925657869,634.7889925657869
scar,edema_positive,16,0.6933346102422654,0.6933346102422654,0.0,1.102447509765625,1.102447509765625
