variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,0,0.5941847562789917,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,1,0.4058152437210083,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale0,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,0,0.4621552526950836,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,1,0.537844717502594,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale0,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,0,0.41221436858177185,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,1,0.5877856612205505,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale0,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,0,0.5253692865371704,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,1,0.4746306836605072,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale1,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,0,0.5458885431289673,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,1,0.4541114866733551,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale1,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,0,0.6080076694488525,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,1,0.39199236035346985,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale1,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,0,0.4957963526248932,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,1,0.5042036175727844,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,anatomy_scale2,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,0,0.41363808512687683,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,1,0.5863619446754456,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,scar_scale2,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,0,0.5379457473754883,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,1,0.4620542526245117,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,2,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,3,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,4,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,5,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,1,edema_scale2,6,0.0,Case8030
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,0,0.2719205319881439,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,1,0.19085152447223663,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,3,0.21553391218185425,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,5,0.321694016456604,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale0,6,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,0,0.2289123386144638,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,1,0.31847184896469116,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,3,0.24108241498470306,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,5,0.21153339743614197,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale0,6,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,0,0.1969851702451706,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,1,0.32463395595550537,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,3,0.26329654455184937,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,5,0.21508438885211945,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale0,6,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,0,0.2159712165594101,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,1,0.28744205832481384,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,3,0.23667147755622864,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,5,0.25991520285606384,Case3017
srr_v2_capacity12_balanced_lowmix,250,anatomy_scale1,6,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,0,0.3641471564769745,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,1,0.28088706731796265,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,3,0.20884211361408234,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,5,0.1461237072944641,Case3017
srr_v2_capacity12_balanced_lowmix,250,scar_scale1,6,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,0,0.24561437964439392,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,1,0.19971010088920593,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,2,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,3,0.3372979462146759,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,4,0.0,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,5,0.21737757325172424,Case3017
srr_v2_capacity12_balanced_lowmix,250,edema_scale1,6,0.0,Case3017
