variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,0,0.18035368621349335,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,1,0.13356050848960876,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,2,0.15046760439872742,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,3,0.14251604676246643,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,4,0.15165841579437256,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,5,0.13149186968803406,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale0,6,0.10995189100503922,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,0,0.11298013478517532,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,1,0.14856798946857452,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,2,0.15567760169506073,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,3,0.1497553586959839,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,4,0.13046833872795105,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,5,0.17229418456554413,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale0,6,0.13025639951229095,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,0,0.17148153483867645,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,1,0.14996986091136932,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,2,0.12070000171661377,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,3,0.13248644769191742,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,4,0.11629486829042435,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,5,0.15667550265789032,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale0,6,0.15239177644252777,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,0,0.16836601495742798,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,1,0.12925930321216583,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,2,0.1628369390964508,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,3,0.1559976041316986,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,4,0.1335945874452591,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,5,0.1151873990893364,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale1,6,0.1347581446170807,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,0,0.11234917491674423,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,1,0.18262073397636414,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,2,0.12243981659412384,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,3,0.14469395577907562,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,4,0.11020660400390625,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,5,0.17719823122024536,Case2022
srr_v2_proposal_uncertainty_hardneg,1,scar_scale1,6,0.15049150586128235,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,0,0.12509706616401672,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,1,0.1464180201292038,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,2,0.1172102615237236,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,3,0.15091535449028015,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,4,0.16124814748764038,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,5,0.13214541971683502,Case2022
srr_v2_proposal_uncertainty_hardneg,1,edema_scale1,6,0.1669657677412033,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale2,0,0.12225012481212616,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale2,1,0.12933038175106049,Case2022
srr_v2_proposal_uncertainty_hardneg,1,anatomy_scale2,2,0.12986958026885986,Case2022
